Locus,Gene,Start,Length,Product,Allele Count,Alleles
Rv0099,fadD10,108156,1623,fatty-acid--CoA ligase FadD10,490,Rv0099.fasta
Rv0101,nrp,110001,7539,peptide synthetase Nrp,2119,Rv0101.fasta
Rv0102,,117714,1986,integral membrane protein,602,Rv0102.fasta
Rv0103c,ctpB,119915,2259,cation-transporter P-type ATPase B,679,Rv0103c.fasta
Rv0104,,122317,1515,hypothetical protein,567,Rv0104.fasta
Rv0105c,rpmB1,123980,285,50S ribosomal protein L28,119,Rv0105c.fasta
Rv0106,,124374,1197,hypothetical protein,330,Rv0106.fasta
Rv0108c,,130895,210,hypothetical protein,80,Rv0108c.fasta
Rv0110,,133020,750,integral membrane protein,254,Rv0110.fasta
Rv0111,,133950,2058,transmembrane acyltransferase,594,Rv0111.fasta
Rv0112,gca,136289,957,GDP-mannose 4,,
Rv0113,gmhA,137319,591,phosphoheptose isomerase,271,Rv0113.fasta
Rv0114,gmhB,137941,573,D-glycero-alpha-D-manno-heptose-1,,
Rv0115,hddA,138513,1161,D-alpha-D-heptose-7-phosphate kinase HddA,338,Rv0115.fasta
Rv0115a,,139956,189,hypothetical protein,75,Rv0115a.fasta
Rv0116c,ldtA,140267,756,L,,
Rv0118c,oxcA,142128,1749,oxalyl-CoA decarboxylase OxcA,617,Rv0118c.fasta
Rv0119,fadD7,144049,1578,fatty-acid--CoA ligase FadD7,519,Rv0119.fasta
Rv0120c,fusA2,145627,2145,elongation factor G,750,Rv0120c.fasta
Rv0121c,,147908,435,hypothetical protein,156,Rv0121c.fasta
Rv0122,,148491,369,hypothetical protein,118,Rv0122.fasta
Rv0123,,148856,369,hypothetical protein,88,Rv0123.fasta
Rv0125,pepA,151148,1068,serine protease PepA,304,Rv0125.fasta
Rv0126,treS,152324,1806,trehalose synthase/amylase TreS,438,Rv0126.fasta
Rv0127,mak,154232,1368,maltokinase,352,Rv0127.fasta
Rv0128,,155667,780,transmembrane protein,245,Rv0128.fasta
Rv0129c,fbpC,156578,1023,diacylglycerol acyltransferase/mycolyltransferase Ag85C,237,Rv0129c.fasta
Rv0130,htdZ,157847,456,3-hydroxyl-thioester dehydratase,167,Rv0130.fasta
Rv0131c,fadE1,158315,1344,acyl-CoA dehydrogenase FadE1,440,Rv0131c.fasta
Rv0132c,fgd2,159700,1083,F420-dependent glucose-6-phosphate dehydrogenase,355,Rv0132c.fasta
Rv0133,,160869,606,GCN5-like N-acetyltransferase,226,Rv0133.fasta
Rv0134,ephF,161771,903,epoxide hydrolase EphF,308,Rv0134.fasta
Rv0136,cyp138,163366,1326,cytochrome P450 Cyp138,491,Rv0136.fasta
Rv0137c,msrA,164712,549,peptide methionine sulfoxide reductase MsrA,187,Rv0137c.fasta
Rv0138,,165323,504,hypothetical protein,189,Rv0138.fasta
Rv0139,,165827,1023,oxidoreductase,346,Rv0139.fasta
Rv0141c,,167271,411,hypothetical protein,119,Rv0141c.fasta
Rv0142,,167711,927,hypothetical protein,351,Rv0142.fasta
Rv0143c,,168704,1479,transmembrane protein,493,Rv0143c.fasta
Rv0144,,170284,843,transcriptional regulator,297,Rv0144.fasta
Rv0146,,172211,933,S-adenosylmethionine-dependent methyltransferase,329,Rv0146.fasta
Rv0147,,173238,1521,aldehyde dehydrogenase,459,Rv0147.fasta
Rv0148,,174833,861,short-chain type dehydrogenase/reductase,249,Rv0148.fasta
Rv0149,,175700,969,quinone oxidoreductase,293,Rv0149.fasta
Rv0150c,,176665,288,hypothetical protein,105,Rv0150c.fasta
Rv0153c,ptbB,181155,831,phosphotyrosine protein phosphatase,216,Rv0153c.fasta
Rv0154c,fadE2,181987,1212,acyl-CoA dehydrogenase FadE2,349,Rv0154c.fasta
Rv0155,pntAa,183622,1101,NAD(P) transhydrogenase subunit alpha PntAa,304,Rv0155.fasta
Rv0156,pntAb,184723,333,NAD(P) transhydrogenase subunit alpha PntAb,87,Rv0156.fasta
Rv0157,pntB,185052,1428,NAD(P) transhydrogenase subunit beta PntB,396,Rv0157.fasta
Rv0157A,,186495,129,hypothetical protein,51,Rv0157A.fasta
Rv0158,,186785,645,transcriptional regulator,174,Rv0158.fasta
Rv0161,,190607,1350,oxidoreductase,428,Rv0161.fasta
Rv0162c,adhE1,191984,1152,zinc-type alcohol dehydrogenase subunit E,397,Rv0162c.fasta
Rv0164,TB18.5,193626,486,hypothetical protein,113,Rv0164.fasta
Rv0165c,mce1R,194144,672,transcriptional regulator Mce1R,134,Rv0165c.fasta
Rv0166,fadD5,194993,1665,fatty-acid--CoA ligase FadD5,529,Rv0166.fasta
Rv0167,yrbE1A,196861,798,membrane protein,230,Rv0167.fasta
Rv0168,yrbE1B,197660,870,membrane protein,272,Rv0168.fasta
Rv0169,mce1A,198534,1365,Mce family protein Mce1A,512,Rv0169.fasta
Rv0170,mce1B,199895,1041,Mce family protein Mce1B,303,Rv0170.fasta
Rv0171,mce1C,200932,1548,Mce family protein Mce1C,583,Rv0171.fasta
Rv0172,mce1D,202476,1593,Mce family protein Mce1D,533,Rv0172.fasta
Rv0174,mce1F,205231,1548,Mce family protein Mce1F,520,Rv0174.fasta
Rv0176,,207452,969,Mce associated transmembrane protein,310,Rv0176.fasta
Rv0178,,208938,735,Mce associated membrane protein,220,Rv0178.fasta
Rv0179c,lprO,209703,1110,lipoprotein LprO,351,Rv0179c.fasta
Rv0181c,,212277,735,hypothetical protein,218,Rv0181c.fasta
Rv0182c,sigG,213028,1113,ECF RNA polymerase sigma factor SigG,348,Rv0182c.fasta
Rv0184,,214969,750,hypothetical protein,231,Rv0184.fasta
Rv0185,,215715,510,hypothetical protein,157,Rv0185.fasta
Rv0187,,218705,663,O-methyltransferase,244,Rv0187.fasta
Rv0188,,219486,432,transmembrane protein,157,Rv0188.fasta
Rv0189c,ilvD,219996,1728,dihydroxy-acid dehydratase,402,Rv0189c.fasta
Rv0190,,221871,291,hypothetical protein,67,Rv0190.fasta
Rv0191,,222289,1242,MFS-type transporter,371,Rv0191.fasta
Rv0192,,223564,1101,hypothetical protein,340,Rv0192.fasta
Rv0195,,230899,636,two component transcriptional regulator,209,Rv0195.fasta
Rv0196,,231647,585,HTH-type transcriptional regulator,194,Rv0196.fasta
Rv0198c,zmp1,234516,1992,zinc metalloprotease,562,Rv0198c.fasta
Rv0199,,236550,660,membrane protein,172,Rv0199.fasta
Rv0200,,237206,690,transmembrane protein,205,Rv0200.fasta
Rv0201c,,237892,504,hypothetical protein,147,Rv0201c.fasta
Rv0202c,mmpL11,238392,2901,transmembrane transport protein MmpL11,800,Rv0202c.fasta
Rv0203,,241514,411,hypothetical protein,148,Rv0203.fasta
Rv0204c,,241976,1239,transmembrane protein,325,Rv0204c.fasta
Rv0205,,243384,1104,transmembrane protein,343,Rv0205.fasta
Rv0206c,mmpL3,244484,2835,transmembrane transport protein MmpL3,669,Rv0206c.fasta
Rv0207c,,247384,729,hypothetical protein,243,Rv0207c.fasta
Rv0208c,,248115,792,tRNA (guanine-N(7)-)-methyltransferase,209,Rv0208c.fasta
Rv0210,,250120,1479,hypothetical protein,457,Rv0210.fasta
Rv0211,pckA,251782,1821,phosphoenolpyruvate carboxykinase,575,Rv0211.fasta
Rv0212c,nadR,253669,972,transcriptional regulator NadR,330,Rv0212c.fasta
Rv0213c,,254637,1314,methyltransferase,459,Rv0213c.fasta
Rv0214,fadD4,256064,1614,fatty-acid--CoA ligase FadD4,539,Rv0214.fasta
Rv0216,,258913,1014,hydratase,286,Rv0216.fasta
Rv0217c,lipW,259923,909,esterase LipW,322,Rv0217c.fasta
Rv0219,,262254,549,transmembrane protein,186,Rv0219.fasta
Rv0220,lipC,262812,1212,esterase LipC,343,Rv0220.fasta
Rv0224c,,267863,765,methyltransferase,180,Rv0224c.fasta
Rv0225,,268663,1155,hypothetical protein,271,Rv0225.fasta
Rv0226c,,269834,1731,transmembrane protein,531,Rv0226c.fasta
Rv0227c,,271574,1266,membrane protein,380,Rv0227c.fasta
Rv0228,,273055,1224,acyltransferase,359,Rv0228.fasta
Rv0229c,,274306,414,hypothetical protein,120,Rv0229c.fasta
Rv0230c,php,274983,981,phosphotriesterase,309,Rv0230c.fasta
Rv0231,fadE4,276058,1707,acyl-CoA dehydrogenase FadE4,535,Rv0231.fasta
Rv0232,,277899,690,transcriptional regulator,231,Rv0232.fasta
Rv0233,nrdB,278585,945,ribonucleoside-diphosphate reductase subunit beta NrdB,305,Rv0233.fasta
Rv0234c,gabD1,279605,1536,succinate-semialdehyde dehydrogenase,426,Rv0234c.fasta
Rv0235c,,281166,1449,transmembrane protein,451,Rv0235c.fasta
Rv0236A,,286898,174,hypothetical protein,55,Rv0236A.fasta
Rv0236c,aftD,282649,4203,alpha-(1->3)-arabinofuranosyltransferase,1175,Rv0236c.fasta
Rv0237,lpqI,287186,1167,lipoprotein LpqI,376,Rv0237.fasta
Rv0238,,288428,615,transcriptional regulator,131,Rv0238.fasta
Rv0239,vapB24,289104,234,antitoxin VapB24,85,Rv0239.fasta
Rv0240,vapC24,289345,438,ribonuclease VapC24,148,Rv0240.fasta
Rv0241c,htdX,289812,843,3-hydroxyacyl-thioester dehydratase HtdX,289,Rv0241c.fasta
Rv0242c,fabG4,290665,1365,3-oxoacyl-ACP reductase FabG,395,Rv0242c.fasta
Rv0243,fadA2,292171,1323,acetyl-CoA acetyltransferase FadA,411,Rv0243.fasta
Rv0244c,fadE5,293798,1836,acyl-CoA dehydrogenase FadE5,637,Rv0244c.fasta
Rv0245,,296005,489,oxidoreductase,177,Rv0245.fasta
Rv0246,,296809,1311,integral membrane protein,419,Rv0246.fasta
Rv0247c,,298116,747,succinate dehydrogenase iron-sulfur subunit,171,Rv0247c.fasta
Rv0248c,,298863,1941,succinate dehydrogenase flavoprotein subunit,401,Rv0248c.fasta
Rv0249c,,300834,822,succinate dehydrogenase membrane anchor subunit,171,Rv0249c.fasta
Rv0250c,,301735,294,hypothetical protein,81,Rv0250c.fasta
Rv0251c,hsp,302173,480,heat shock protein,162,Rv0251c.fasta
Rv0252,nirB,302866,2562,nitrite reductase large subunit NirB,842,Rv0252.fasta
Rv0253,nirD,305453,357,nitrite reductase small subunit NirD,110,Rv0253.fasta
Rv0254c,cobU,305825,525,bifunctional cobinamide kinase/cobinamide phosphate guanylyltransferase,173,Rv0254c.fasta
Rv0255c,cobQ1,306374,1485,cobyric acid synthase,502,Rv0255c.fasta
Rv0258c,,310294,456,hypothetical protein,140,Rv0258c.fasta
Rv0259c,,310774,744,hypothetical protein,244,Rv0259c.fasta
Rv0260c,,311514,1146,transcriptional regulator,377,Rv0260c.fasta
Rv0261c,narK3,312759,1410,nitrate/nitrite transporter,484,Rv0261c.fasta
Rv0262c,aac,314309,546,aminoglycoside 2'-N-acetyltransferase,168,Rv0262c.fasta
Rv0263c,,314864,903,hypothetical protein,296,Rv0263c.fasta
Rv0264c,,315783,633,hypothetical protein,213,Rv0264c.fasta
Rv0265c,,316511,993,iron ABC transporter substrate-binding lipoprotein,284,Rv0265c.fasta
Rv0266c,oplA,317525,3630,5-oxoprolinase OplA,1097,Rv0266c.fasta
Rv0268c,,322764,510,hypothetical protein,176,Rv0268c.fasta
Rv0269c,,323338,1194,hypothetical protein,324,Rv0269c.fasta
Rv0270,fadD2,324567,1683,fatty-acid--CoA ligase FadD2,505,Rv0270.fasta
Rv0271c,fadE6,326266,2196,acyl-CoA dehydrogenase FadE6,644,Rv0271c.fasta
Rv0272c,,328575,1134,hypothetical protein,342,Rv0272c.fasta
Rv0273c,,329705,621,transcriptional regulator,215,Rv0273c.fasta
Rv0275c,,330933,726,transcriptional regulator,331,Rv0275c.fasta
Rv0276,,331748,921,hypothetical protein,294,Rv0276.fasta
Rv0281,,340998,909,S-adenosylmethionine-dependent methyltransferase,270,Rv0281.fasta
Rv0282,eccA3,342130,1896,ESX-3 secretion system protein EccA,456,Rv0282.fasta
Rv0283,eccB3,344022,1617,ESX-3 secretion system protein EccB3,457,Rv0283.fasta
Rv0284,eccC3,345635,3993,ESX-3 secretion system protein EccC3,1114,Rv0284.fasta
Rv0287,esxG,351525,294,ESAT-6 like protein EsxG,90,Rv0287.fasta
Rv0288,esxH,351848,291,ESAT-6-like protein EsxH,117,Rv0288.fasta
Rv0289,espG3,352149,888,ESX-3 secretion-associated protein EspG3,275,Rv0289.fasta
Rv0290,eccD3,353083,1419,ESX-3 secretion system protein EccD,464,Rv0290.fasta
Rv0291,mycP3,354498,1386,membrane-anchored mycosin MycP,440,Rv0291.fasta
Rv0293c,,356862,1203,hypothetical protein,403,Rv0293c.fasta
Rv0295c,,358945,804,hypothetical protein,232,Rv0295c.fasta
Rv0296c,,359758,1398,sulfatase,337,Rv0296c.fasta
Rv0306,,375914,672,oxidoreductase,202,Rv0306.fasta
Rv0308,,377113,717,integral membrane protein,214,Rv0308.fasta
Rv0309,,377931,657,hypothetical protein,187,Rv0309.fasta
Rv0310c,,378657,492,hypothetical protein,138,Rv0310c.fasta
Rv0311,,379172,1230,hypothetical protein,360,Rv0311.fasta
Rv0312,,380556,1863,hypothetical protein,519,Rv0312.fasta
Rv0313,,382490,387,hypothetical protein,123,Rv0313.fasta
Rv0314c,,382879,663,membrane protein,228,Rv0314c.fasta
Rv0315,,383602,885,beta-1,,
Rv0316,,384535,615,muconolactone isomerase,190,Rv0316.fasta
Rv0317c,glpQ2,385173,771,glycerophosphoryl diester phosphodiesterase GlpQ,236,Rv0317c.fasta
Rv0318c,,386305,795,integral membrane protein,249,Rv0318c.fasta
Rv0319,pcp,387148,669,pyrrolidone-carboxylate peptidase,192,Rv0319.fasta
Rv0320,,387888,663,hypothetical protein,221,Rv0320.fasta
Rv0321,dcd,388582,573,deoxycytidine triphosphate deaminase,118,Rv0321.fasta
Rv0322,udgA,389260,1332,UDP-glucose 6-dehydrogenase UdgA,386,Rv0322.fasta
Rv0324,,391352,681,transcriptional regulator,156,Rv0324.fasta
Rv0325,,392039,225,hypothetical protein,85,Rv0325.fasta
Rv0327c,cyp135A1,392696,1350,cytochrome P450 Cyp135A1,415,Rv0327c.fasta
Rv0329c,,394694,627,hypothetical protein,209,Rv0329c.fasta
Rv0330c,,395347,741,hypothetical protein,216,Rv0330c.fasta
Rv0331,,396201,1167,dehydrogenase/reductase,413,Rv0331.fasta
Rv0332,,397442,786,hypothetical protein,256,Rv0332.fasta
Rv0333,,398254,375,hypothetical protein,116,Rv0333.fasta
Rv0334,rmlA,398658,867,glucose-1-phosphate thymidylyltransferase,188,Rv0334.fasta
Rv0337c,aspC,401873,1290,aspartate aminotransferase,318,Rv0337c.fasta
Rv0339c,,405950,2499,transcriptional regulator,810,Rv0339c.fasta
Rv0340,,408634,540,hypothetical protein,183,Rv0340.fasta
Rv0341,iniB,409362,1440,isoniazid inducible protein IniB,495,Rv0341.fasta
Rv0342,iniA,410838,1923,isoniazid inductible protein IniA,531,Rv0342.fasta
Rv0343,iniC,412757,1482,iIsoniazid inductible protein IniC,387,Rv0343.fasta
Rv0344c,lpqJ,414381,561,lipoprotein LpqJ,135,Rv0344c.fasta
Rv0345,,415050,411,hypothetical protein,131,Rv0345.fasta
Rv0346c,ansP2,415502,1464,L-asparagine permease,315,Rv0346c.fasta
Rv0347,,417304,987,membrane protein,188,Rv0347.fasta
Rv0348,,418293,654,transcriptional regulator,115,Rv0348.fasta
Rv0349,,418949,660,hypothetical protein,188,Rv0349.fasta
Rv0350,dnaK,419835,1878,chaperone protein DnaK,342,Rv0350.fasta
Rv0351,grpE,421709,708,protein GrpE,190,Rv0351.fasta
Rv0352,dnaJ1,422452,1188,chaperone protein DnaJ,272,Rv0352.fasta
Rv0353,hspR,423639,381,heat shock protein transcriptional repressor HspR,94,Rv0353.fasta
Rv0356c,,434830,645,hypothetical protein,232,Rv0356c.fasta
Rv0357c,purA,435471,1299,adenylosuccinate synthetase,261,Rv0357c.fasta
Rv0358,,436860,648,hypothetical protein,184,Rv0358.fasta
Rv0359,,437518,780,zinc metalloprotease,209,Rv0359.fasta
Rv0360c,,438302,438,hypothetical protein,163,Rv0360c.fasta
Rv0361,,438822,828,membrane protein,209,Rv0361.fasta
Rv0362,mgtE,439871,1383,Mg2+ transport transmembrane protein MgtE,372,Rv0362.fasta
Rv0363c,fba,441265,1035,fructose-bisphosphate aldolase,231,Rv0363c.fasta
Rv0365c,,443067,1131,hypothetical protein,348,Rv0365c.fasta
Rv0366c,,444222,594,hypothetical protein,186,Rv0366c.fasta
Rv0367c,,444844,390,hypothetical protein,115,Rv0367c.fasta
Rv0368c,,445314,1212,hypothetical protein,394,Rv0368c.fasta
Rv0369c,,446531,516,membrane oxidoreductase,146,Rv0369c.fasta
Rv0370c,,447147,897,oxidoreductase,351,Rv0370c.fasta
Rv0371c,,448040,594,hypothetical protein,186,Rv0371c.fasta
Rv0372c,,448630,756,hypothetical protein,216,Rv0372c.fasta
Rv0373c,,449404,2400,carbon monoxyde dehydrogenase large subunit,767,Rv0373c.fasta
Rv0374c,,451800,480,carbon monoxyde dehydrogenase small subunit,165,Rv0374c.fasta
Rv0375c,,452294,861,carbon monoxyde dehydrogenase medium subunit,258,Rv0375c.fasta
Rv0379,secE2,455977,216,protein translocase subunit SecE,72,Rv0379.fasta
Rv0380c,,456268,552,RNA methyltransferase,210,Rv0380c.fasta
Rv0381c,,456915,909,hypothetical protein,220,Rv0381c.fasta
Rv0382c,pyrE,457841,540,orotate phosphoribosyltransferase,114,Rv0382c.fasta
Rv0383c,,458461,855,hypothetical protein,226,Rv0383c.fasta
Rv0384c,clpB,459456,2547,chaperone protein ClpB,508,Rv0384c.fasta
Rv0385,,462135,1173,monooxygenase,283,Rv0385.fasta
Rv0386,,463411,3258,transcriptional regulator,874,Rv0386.fasta
Rv0389,purT,468335,1260,phosphoribosylglycinamide formyltransferase PurT,394,Rv0389.fasta
Rv0390,,469591,423,hypothetical protein,119,Rv0390.fasta
Rv0391,metZ,470010,1221,O-succinylhomoserine sulfhydrylase,285,Rv0391.fasta
Rv0397A,,476394,249,hypothetical protein,83,Rv0397A.fasta
Rv0398c,,476679,642,hypothetical protein,197,Rv0398c.fasta
Rv0399c,lpqK,477327,1230,lipoprotein LpqK,384,Rv0399c.fasta
Rv0400c,fadE7,478566,1188,acyl-CoA dehydrogenase FadE7,351,Rv0400c.fasta
Rv0401,,479789,372,transmembrane protein,131,Rv0401.fasta
Rv0402c,mmpL1,480355,2877,transmembrane transport protein MmpL1,745,Rv0402c.fasta
Rv0404,fadD30,483977,1758,long-chain-fatty-acid--AMP ligase FadD30,790,Rv0404.fasta
Rv0408,pta,491786,2073,phosphate acetyltransferase,509,Rv0408.fasta
Rv0410c,pknG,495062,2253,serine/threonine-protein kinase PknG,604,Rv0410c.fasta
Rv0411c,glnH,497314,987,glutamine-binding lipoprotein GlnH,286,Rv0411c.fasta
Rv0412c,,498300,1320,membrane protein,332,Rv0412c.fasta
Rv0414c,thiE,500350,669,thiamine-phosphate synthase,180,Rv0414c.fasta
Rv0415,thiO,501148,1023,thiamine biosynthesis oxidoreductase ThiO,276,Rv0415.fasta
Rv0417,thiG,502366,759,thiazole synthase,168,Rv0417.fasta
Rv0418,lpqL,503496,1503,lipoprotein aminopeptidase LpqL,386,Rv0418.fasta
Rv0419,lpqM,505086,1497,lipoprotein peptidase LpqM,412,Rv0419.fasta
Rv0421c,,507132,630,hypothetical protein,203,Rv0421c.fasta
Rv0422c,thiD,507758,798,hydroxymethylpyrimidine/phosphomethylpyrimidine kinase,182,Rv0422c.fasta
Rv0423c,thiC,508582,1644,phosphomethylpyrimidine synthase,327,Rv0423c.fasta
Rv0424c,,510377,276,hypothetical protein,75,Rv0424c.fasta
Rv0426c,,515373,444,transmembrane protein,137,Rv0426c.fasta
Rv0427c,xthA,516017,876,exodeoxyribonuclease III protein XthA,243,Rv0427c.fasta
Rv0428c,,516895,909,GCN5-like N-acetyltransferase,273,Rv0428c.fasta
Rv0429c,def,517803,594,polypeptide deformylase,122,Rv0429c.fasta
Rv0430,,518733,309,hypothetical protein,78,Rv0430.fasta
Rv0431,,519073,495,tuberculin-like peptide,122,Rv0431.fasta
Rv0432,sodC,519600,723,superoxide dismutase,147,Rv0432.fasta
Rv0433,,520324,1131,carboxylate-amine ligase,250,Rv0433.fasta
Rv0434,,521514,654,hypothetical protein,183,Rv0434.fasta
Rv0435c,,522347,2187,ATPase,636,Rv0435c.fasta
Rv0436c,pssA,524530,861,CDP-diacylglycerol--serine O-phosphatidyltransferase,195,Rv0436c.fasta
Rv0437c,psd,525387,696,phosphatidylserine decarboxylase,178,Rv0437c.fasta
Rv0438c,moeA2,526143,1218,molybdopterin molybdenumtransferase,323,Rv0438c.fasta
Rv0439c,,527379,936,dehydrogenase/reductase,276,Rv0439c.fasta
Rv0440,groEL2,528608,1623,molecular chaperone GroEL,318,Rv0440.fasta
Rv0441c,,530296,429,hypothetical protein,128,Rv0441c.fasta
Rv0443,,532396,516,hypothetical protein,163,Rv0443.fasta
Rv0444c,rskA,533091,699,anti-sigma-K factor RskA,243,Rv0444c.fasta
Rv0445c,sigK,533833,564,ECF RNA polymerase sigma factor SigK,155,Rv0445c.fasta
Rv0446c,,534445,771,transmembrane protein,245,Rv0446c.fasta
Rv0447c,ufaA1,535224,1284,cyclopropane-fatty-acyl-phospholipid synthase UfaA,335,Rv0447c.fasta
Rv0448c,,536504,666,hypothetical protein,188,Rv0448c.fasta
Rv0449c,,537229,1320,hypothetical protein,338,Rv0449c.fasta
Rv0450c,mmpL4,538588,2904,transmembrane transport protein MmpL4,717,Rv0450c.fasta
Rv0451c,mmpS4,541488,423,membrane protein MmpS4,131,Rv0451c.fasta
Rv0452,,542142,711,transcriptional regulator,191,Rv0452.fasta
Rv0455c,,545375,447,hypothetical protein,112,Rv0455c.fasta
Rv0456A,mazF1,547076,282,toxin MazF1,87,Rv0456A.fasta
Rv0456c,echA2,545889,915,enoyl-CoA hydratase EchA2,284,Rv0456c.fasta
Rv0457c,,547586,2022,peptidase,582,Rv0457c.fasta
Rv0458,,549675,1524,aldehyde dehydrogenase,459,Rv0458.fasta
Rv0459,,551198,492,hypothetical protein,173,Rv0459.fasta
Rv0460,,551749,240,hypothetical protein,76,Rv0460.fasta
Rv0461,,552026,525,transmembrane protein,161,Rv0461.fasta
Rv0462,lpdC,552614,1395,dihydrolipoamide dehydrogenase,263,Rv0462.fasta
Rv0463,,554016,294,membrane protein,102,Rv0463.fasta
Rv0464c,,554313,573,hypothetical protein,163,Rv0464c.fasta
Rv0465c,,554882,1425,HTH-type transcriptional regulator,400,Rv0465c.fasta
Rv0466,,556458,795,hypothetical protein,214,Rv0466.fasta
